Name,Date,Due Date,Participants,Tags,Type,관련 링크,상태,작성 일자
20221220-S&D,2022/12/20 18:00,,,meeting,S&D,,Done,2022년 12월 20일 오후 7:55
20221219-MiNER,2022/12/19 16:30,,,meeting,MiNER,,Done,2022년 12월 19일 오후 5:37
20221216-S&D,2022/12/16 15:15,,,meeting,S&D,,Done,2022년 12월 19일 오후 2:49
20221213-S&D,,,,meeting,,,Done,2022년 12월 16일 오후 12:49
20221212-MiNER,,,,meeting,,,Done,2022년 12월 12일 오후 4:38
20221212-S&D,,,,meeting,,,Done,2022년 12월 12일 오후 8:11
20221208-S&D,,,,meeting,,,Done,2022년 12월 8일 오후 3:57
20221207-MiNER,,,,meeting,,,Done,2022년 12월 7일 오후 6:55
20221124-S&D,,,,meeting,,,Done,2022년 11월 24일 오후 6:19
20221121-MiNER,,,,meeting,,,Done,2022년 11월 21일 오후 6:30
20221121-S&D,,,,meeting,,,Done,2022년 11월 21일 오후 4:58
20221118-MiNER,,,,meeting,,,Done,2022년 11월 18일 오후 3:09
20221108-S&D,,,,meeting,,,Done,2022년 11월 10일 오후 5:37
20221104-S&D,,,,meeting,,,Done,2022년 11월 7일 오후 3:05
20221102-S&D,,,,meeting,,,Done,2022년 11월 3일 오후 2:49
20221031-S&D,,,,meeting,,,Done,2022년 11월 1일 오후 12:09
20221027-S&D,,,,meeting,,,Done,2022년 10월 28일 오후 5:03
20221024-S&D,,,,meeting,,,Done,2022년 10월 25일 오후 2:13
20221024-MiNER,,,,meeting,,,Done,2022년 10월 25일 오후 12:59
20221020-SHT,,,,meeting,,,Done,2022년 10월 21일 오후 12:30
20221020-S&D,,,,meeting,,,Done,2022년 10월 21일 오전 11:40
20221017-MiNER,,2022/10/17 16:25-17:00,,meeting,MiNER,,Done,2022년 10월 17일 오후 5:23
20221014 회의 wrap up / 할 얘기,,,,meeting,,,Done,2022년 10월 14일 오후 7:06
20221013 회의 wrap up / 할 얘기,,,,meeting,,,Done,2022년 10월 13일 오후 6:03
20221007 회의 wrap up / 할 얘기,,,,meeting,,,Done,2022년 10월 7일 오후 5:58
